code,shift_score,shiftpatterns,class,teachers,climate_score,climate_patterns,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
LBARC1123,0.0,{},Anglais 1,"['Declercq Frédéric', ' Fasbender Catherine', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LBARC1228,0.0,{},English II,"['Declercq Frédéric', ' Fasbender Catherine', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LBARC1323,0.0,{},Anglais 3,"['Fasbender Catherine', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LBARC1303,0.0,{},Atelier d'architecture thématique : patrimoine,"['Houdé Joelle', ' Raucent Marie-Christine', ' Vandenbroucke David', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
LBARC1325,0.0,{},Dessin modèle vivant,"['De Myttenaere Michèle', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LTARC1367,0.0,{},Architecture et matérialité,"['Wittevrongel Bernard', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LTARC1325,0.0,{},Histoire de l'art moderne et contemporain,"['Pouillon Henry', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTARC1101,0.0,{},Projet d'architecture 1 : initiation,"['De Paepe Mathieu', ' Lorent Nicolas', ' Miner Franck', ' Mory Agnes', ' Noirhomme Barbara', ' Nottebaert Anne', ' Verbeke Pascale', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
LTARC1201,0.0,{},Projet d'architecture 2 : exploration,"['Accarain Pierre', ' Blanckaert Ludovic', ' Boghaert Christoffel', ' Coton Gauthier', ' De Groote Geert', ' De Villiers De La Noue Renaud', ' Fache Dimitri', ' Laloux Olivier', ' Marchant Pascal', ' Surroca Damien', ' Van Overstraeten Eric', ' Vanhamme Catherine', ' Veauvy Lyderic', ' Weiss Emmanuelle', ' Wittevrongel Bernard', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LTARC1301,0.0,{},Projet d'architecture 3 : confirmation,"['Blanckaert Ludovic', ' Bourez Olivier', ' Camus Olivier', ' Coton Gauthier', ' De Groote Geert', ' Gilot Christian', ' Surroca Damien', ' Weiss Emmanuelle', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
