id,climate,energy,environment,durability,total
SC_53006795,0,0,0,0,0
SC_53006957,0,0,0,0,0
SC_53006950,0,0,0,0,0
SC_53006946,0,0,0,0,0
SC_53006722,0,0,0,0,0
SC_53006649,0,0,0,0,0
SC_53007062,0,0,0,0,0
SC_53006809,0,0,0,0,0
SC_53007388,0,0,0,0,0
SC_53007384,0,0,0,0,0
SC_53007354,0,0,0,0,0
SC_53007353,0,0,0,0,0
SC_51523047,0,0,0,0,0
SC_51523046,0,0,0,0,0
SC_51523035,0,0,0,0,0
SC_55172118,0,0,0,0,0
SC_55180032,0,0,0,0,0
SC_54730491,0,0,0,0,0
SC_51523036,0,0,0,0,0
SC_53709046,0,0,0,0,0
SC_55640413,0,0,0,0,0
SC_55639619,0,0,0,0,0
SC_55640421,0,0,0,0,0
SC_55640405,0,0,0,0,0
SC_55640580,0,0,0,0,0
SC_55603413,1,0,2,1,2
SC_53303708,0,0,0,0,0
SC_53299932,0,0,0,0,0
SC_53302323,0,0,0,0,0
SC_53302929,0,0,0,0,0
SC_53302639,0,0,0,0,0
SC_52609313,0,0,0,0,0
SC_52609310,0,0,0,0,0
SC_52609311,0,0,0,0,0
SC_52609312,0,0,0,0,0
SC_52609314,0,0,0,0,0
SC_52447944,0,0,0,0,0
SC_51844905,0,0,0,0,0
SC_54492887,0,0,0,0,0
SC_55521971,0,0,0,0,0
SC_53749411,0,0,1,0,1
SC_53289526,0,0,0,0,0
SC_51603492,0,2,0,0,2
SC_51551128,0,1,1,0,2
SC_51917144,0,4,0,0,4
SC_51844901,0,0,0,0,0
SC_52922111,0,0,0,0,0
SC_52922031,0,0,0,0,0
SC_51603354,0,1,1,0,2
SC_51531555,0,1,2,0,3
SC_55531476,0,1,1,0,2
SC_55531282,0,1,2,0,3
SC_51531561,0,4,1,0,5
SC_51917146,0,0,0,0,0
SC_51260710,0,0,1,0,1
SC_51917143,0,0,0,0,0
SC_53317904,0,1,0,0,1
SC_52921927,0,0,0,0,0
SC_52920634,0,0,0,0,0
SC_51603466,0,0,0,0,0
SC_51260709,0,0,1,0,1
SC_51531560,0,0,1,0,1
SC_51917142,0,0,0,0,0
SC_51844899,0,3,0,0,3
SC_51234744,0,2,0,0,2
SC_51234740,0,3,0,0,3
SC_51602622,0,0,1,0,1
SC_53281305,0,0,0,0,0
SC_54756928,0,1,0,0,1
SC_51602325,0,1,0,0,1
SC_51531558,0,1,0,0,1
SC_51531559,0,2,1,0,3
SC_51917141,0,1,0,0,1
SC_51234743,0,2,0,1,2
SC_51234739,0,2,0,0,2
SC_51602625,0,0,1,0,1
SC_51260708,0,2,1,1,4
SC_55568740,0,0,3,0,3
SC_55546516,0,0,0,0,0
SC_51531557,0,2,1,0,3
SC_51844920,0,0,0,0,0
SC_51234737,0,0,0,0,0
SC_51602597,0,0,0,0,0
SC_53630614,0,1,0,0,1
SC_51917162,0,0,0,0,0
SC_53625835,0,0,0,0,0
SC_51665016,0,0,0,0,0
SC_51665021,0,0,0,0,0
SC_53625710,0,0,0,0,0
SC_51268972,0,0,0,0,0
SC_51917161,0,0,0,0,0
SC_51917159,0,0,0,0,0
SC_51917158,0,0,0,0,0
SC_51917153,0,0,0,0,0
SC_51917151,0,0,0,0,0
SC_51917150,0,0,0,0,0
SC_51917149,0,0,0,0,0
SC_53630611,0,1,0,0,1
SC_53628801,0,0,0,0,0
SC_53702175,0,0,0,0,0
SC_51268995,0,0,0,0,0
SC_51531568,0,0,0,0,0
SC_51602523,0,1,0,0,1
SC_51531567,0,1,0,0,1
SC_51602580,0,0,0,0,0
SC_51531566,0,0,0,0,0
SC_51602479,0,0,0,0,0
SC_51531565,0,0,0,0,0
SC_51602270,0,1,1,0,2
SC_51531564,0,1,1,1,2
SC_51602489,0,0,0,0,0
SC_51531563,0,0,0,0,0
SC_51234736,0,0,0,0,0
SC_51234735,0,0,0,0,0
SC_51844919,0,1,0,0,1
SC_51844918,0,0,0,0,0
SC_51844917,0,1,0,0,1
SC_51234183,0,1,0,1,1
SC_51234734,0,1,0,1,1
SC_53350271,0,0,0,0,0
SC_51844984,0,3,0,1,4
SC_51601691,0,1,0,1,1
SC_51601261,0,0,0,0,0
SC_51600646,0,2,1,1,3
SC_51260636,0,1,0,0,1
SC_55509358,0,0,0,0,0
SC_55557822,0,1,1,1,2
SC_55503774,0,0,0,0,0
SC_51601483,0,1,0,1,1
SC_55554488,0,0,0,0,0
SC_55509088,0,2,0,0,2
SC_53321687,0,0,0,0,0
SC_53321642,0,0,0,0,0
SC_51917135,0,0,2,0,2
SC_51601467,0,1,0,0,1
SC_51260630,1,0,6,1,7
SC_54273400,0,0,0,0,0
SC_50233380,1,0,1,0,1
SC_51315093,11,2,2,1,13
SC_55500669,0,0,0,0,0
SC_50046720,3,1,3,1,7
SC_55558007,0,0,0,0,0
SC_55557940,0,0,1,0,1
SC_51226649,6,0,1,1,6
SC_54610982,0,0,0,0,0
SC_51016882,0,0,0,0,0
SC_52701664,2,2,3,1,7
SC_51218406,2,3,7,3,13
SC_53247605,0,1,4,2,5
SC_51016887,2,1,5,4,7
SC_52706804,4,1,9,3,14
SC_54541290,1,1,4,3,7
SC_51016885,0,1,3,1,4
SC_54752925,6,2,4,1,11
SC_51016980,6,0,1,1,6
SC_54763403,0,1,3,1,4
SC_51016889,0,1,4,2,5
SC_52839824,0,1,3,1,4
SC_51016779,0,1,5,2,6
SC_55021327,0,0,4,0,4
SC_53658676,0,0,0,0,0
SC_51977178,0,0,0,0,0
SC_51562161,0,0,0,0,0
SC_51671703,0,0,0,0,0
SC_51016771,2,1,10,2,13
SC_51094625,0,0,0,0,0
SC_50046649,0,0,0,0,0
SC_55097620,6,1,0,2,6
SC_51016865,0,0,2,0,2
SC_51016778,1,0,0,1,1
SC_55098656,4,1,0,2,4
SC_52686301,1,1,0,2,3
SC_52357132,0,0,1,0,1
SC_51016867,0,0,2,1,2
SC_52354240,3,2,0,0,3
SC_51017014,0,0,0,0,0
SC_52452190,1,0,0,0,1
SC_52451538,1,0,2,2,3
SC_54132082,0,1,0,1,1
SC_51017013,0,1,0,1,1
SC_52906325,6,7,0,0,11
SC_51384442,5,6,0,0,9
SC_52926320,1,2,2,3,5
SC_52927450,1,2,1,1,3
SC_53840435,1,0,1,1,2
SC_51016928,3,3,2,2,7
SC_51016866,4,8,2,6,15
SC_51520356,1,3,0,0,3
SC_51518550,0,3,2,2,6
SC_52364422,0,0,1,0,1
SC_51230411,0,0,2,1,2
SC_51370066,2,3,1,0,5
SC_51547941,0,1,1,0,2
SC_51017018,0,0,0,0,0
SC_51360430,0,1,1,0,2
SC_51016872,1,4,2,1,6
SC_51547571,2,3,3,1,7
SC_55020635,0,7,2,3,10
SC_55032326,1,6,2,2,9
SC_51016868,0,1,2,1,3
SC_51016873,2,3,3,1,7
SC_50999914,0,0,0,0,0
SC_51016990,0,0,0,0,0
SC_51016991,0,0,0,0,0
SC_54114100,0,0,0,1,1
SC_51014044,0,0,0,0,0
SC_51016993,0,0,0,0,0
SC_51016994,0,0,0,0,0
SC_51016995,0,0,0,1,1
SC_51016996,0,0,0,0,0
SC_50754955,0,0,0,0,0
SC_51016770,0,0,0,0,0
SC_51016934,0,0,0,1,1
SC_54244017,0,0,0,0,0
SC_51801801,7,5,4,4,16
SC_51017080,0,0,0,0,0
SC_55036830,1,0,1,2,3
SC_55036842,0,0,0,0,0
SC_53105694,0,0,0,0,0
SC_54092109,0,0,0,1,1
SC_51016880,0,0,0,0,0
SC_51016777,0,0,0,0,0
SC_54957969,0,0,0,0,0
SC_54958553,0,0,0,0,0
SC_54957909,0,0,0,0,0
SC_54958227,0,0,0,0,0
SC_54957769,1,0,0,1,1
SC_54958065,0,0,0,0,0
SC_54958388,0,0,0,0,0
SC_54957953,0,0,0,0,0
SC_54743952,0,1,0,1,2
SC_54743901,2,4,6,5,14
SC_51016883,0,0,0,0,0
SC_51016933,0,0,0,0,0
SC_54299343,1,4,0,0,4
SC_51926826,1,3,1,2,5
SC_51924142,0,3,0,0,3
SC_53746950,3,2,1,1,5
SC_51958514,0,0,0,0,0
SC_51957503,0,0,0,1,1
SC_52642777,1,0,0,0,1
SC_51016775,0,0,0,0,0
SC_51017025,0,0,0,0,0
SC_51016863,0,0,0,1,1
SC_52470538,2,1,3,1,6
SC_53916751,3,2,1,1,5
SC_53903372,5,2,3,2,8
SC_51923163,0,4,1,2,6
SC_52444871,2,1,3,2,7
SC_50916350,5,2,0,4,8
SC_50914949,2,1,0,4,6
SC_53281871,0,0,0,1,1
SC_53269198,0,0,1,4,5
SC_51186236,0,0,0,0,0
SC_51017022,1,1,0,0,2
SC_51016858,1,1,0,1,3
SC_53589946,2,0,3,0,5
SC_54534452,0,2,1,2,5
SC_54544224,0,2,0,0,2
SC_51016860,2,0,6,2,9
SC_50994750,0,0,0,0,0
SC_51016859,0,0,1,2,3
SC_51016919,0,0,0,0,0
SC_50527959,0,0,0,0,0
SC_51016984,0,0,0,0,0
SC_50996042,0,0,2,0,2
SC_54943797,0,0,0,0,0
SC_51017068,0,0,0,0,0
SC_53588568,0,0,7,2,8
SC_52508967,0,0,0,0,0
SC_51510135,1,0,0,1,1
SC_51514281,1,0,0,1,1
SC_51016765,0,0,0,1,1
SC_51016742,0,0,0,1,1
SC_51016768,1,0,6,4,9
SC_51016769,1,0,6,3,9
SC_51514201,1,0,0,1,1
SC_51016766,0,0,0,1,1
SC_55030795,1,0,0,1,1
SC_55031767,1,0,0,1,1
SC_55032059,1,0,0,1,1
SC_51016911,0,0,0,0,0
SC_55030483,1,3,4,3,7
SC_51016906,0,0,0,3,3
SC_55030465,1,2,5,2,7
SC_51017038,0,0,6,5,10
SC_51016672,0,0,2,2,4
SC_51694515,0,0,0,0,0
SC_51016970,0,0,0,0,0
SC_52895443,0,0,0,0,0
SC_51959271,0,0,0,0,0
SC_51016971,0,0,0,0,0
SC_51016969,0,0,0,0,0
SC_54485333,0,0,0,0,0
SC_54116058,0,0,0,0,0
SC_55663224,0,0,0,0,0
SC_53267075,0,0,0,0,0
SC_50046152,0,0,0,0,0
SC_50046192,0,0,0,0,0
SC_54970443,0,0,0,0,0
SC_54954753,0,0,0,0,0
SC_54958669,0,0,0,0,0
SC_54953904,0,0,0,0,0
SC_54954804,0,0,0,0,0
SC_54953418,1,0,0,1,1
SC_54954769,0,0,0,0,0
SC_54958569,0,0,0,0,0
SC_54954610,0,0,0,0,0
SC_54743919,0,0,0,3,3
SC_54743528,0,0,0,0,0
SC_52844468,1,0,0,0,1
SC_51553551,0,0,0,0,0
SC_51550668,0,0,0,1,1
SC_51928253,0,0,0,1,1
SC_51931744,0,0,0,1,1
SC_55095323,0,0,0,0,0
SC_55616130,0,0,0,0,0
SC_51016951,0,0,0,0,0
SC_51017078,0,0,0,0,0
SC_55609846,0,0,0,0,0
SC_55095110,0,0,0,0,0
SC_54959985,0,0,0,1,1
SC_54962178,0,0,0,1,1
SC_55047844,0,0,1,2,3
SC_55607677,0,0,1,2,3
SC_55607956,0,0,0,0,0
SC_51016814,1,0,0,0,1
SC_55597611,1,0,0,0,1
SC_51231737,0,0,0,0,0
SC_54843922,0,0,0,0,0
SC_54577818,0,0,0,0,0
SC_51017079,0,0,0,0,0
SC_51927223,0,0,0,0,0
SC_51222699,0,0,0,0,0
SC_51687130,0,0,1,0,1
SC_51585890,1,0,0,0,1
SC_53256777,0,0,0,0,0
SC_51016918,0,0,0,0,0
SC_54560021,0,0,0,0,0
SC_54008948,0,0,0,0,0
SC_54072350,0,0,1,0,1
SC_55593935,0,0,1,0,1
SC_51017020,0,0,1,0,1
SC_51016751,0,0,1,0,1
SC_54556012,0,0,0,0,0
SC_55616728,0,0,0,0,0
