id,climate,energy,environment,resources,sustainability,dedicated,total
ACKUCO,0,0,0,0,0,0,0
FCIFRB,0,0,0,0,0,0,0
ACISGR,0,0,0,0,0,0,0
ACONOA,0,0,0,0,0,0,0
KCGSMW,0,0,0,0,0,0,0
DCGEKL,0,0,0,0,0,0,0
FCFMPS,0,0,0,0,0,0,0
KCEUPI,0,0,0,0,0,0,0
FCECBE,0,0,0,0,0,0,0
ACVELI,0,0,0,0,0,0,0
CCDARB,0,0,0,0,0,0,0
ACCHOM,0,0,0,0,0,0,0
KCBDBB,0,0,0,0,0,0,0
IECHEM,1,1,7,0,7,1,10
IELAFO,10,1,19,6,12,5,25
FEBMEB,4,2,9,1,9,2,15
DEGEZO,0,0,0,0,0,0,0
DEPEMS,0,0,0,0,0,0,0
CEMBIN,1,0,2,0,1,0,2
CEMBIO,3,1,12,4,2,5,13
CEMBIB,1,1,3,0,1,1,4
CEMWIS,0,0,0,0,0,0,0
CEMFYS,0,0,0,0,0,0,0
CEMGEL,2,1,4,1,1,2,5
CEMINF,0,1,0,0,0,0,1
CEMCHE,2,2,1,2,0,0,4
KEPOSO,2,1,4,0,4,1,6
BERECH,0,0,5,1,4,1,5
ICVVRM,1,0,0,0,1,0,2
CCSTSB,0,0,0,0,0,0,0
ACSWAH,0,0,0,0,0,0,0
FCSDIM,0,0,0,0,0,0,0
EEMSRP,0,0,0,0,1,0,1
EE7INF,0,0,0,0,0,0,0
CEMGEF,0,0,2,0,1,1,3
CEBSCI,2,1,3,2,1,1,4
EEARCH,3,3,4,4,2,1,7
AETALE,2,0,0,0,0,0,2
JEPHSC,1,0,0,0,0,0,1
AEOOST,0,0,0,0,0,0,0
AESLAV,0,0,0,0,0,0,0
AEKUNS,0,0,1,0,0,0,1
AESHIE,0,0,1,0,1,1,1
GEDIGK,0,0,0,0,0,0,0
AEARCH,0,0,0,0,0,0,0
AEAFRI,0,0,0,0,0,0,0
IECEGE,3,0,5,1,3,1,8
IEENTE,8,3,26,9,17,14,36
IEFONU,1,1,9,0,13,0,17
HEPEDA,0,0,0,0,1,0,1
HEPSYC,0,0,0,0,0,0,0
EHELECCI,0,0,0,0,0,0,0
CHBIOIEN,0,0,1,0,1,0,1
AQTHIN,0,0,0,0,0,0,0
CQEPIC,0,0,0,0,0,0,0
EQUNIV,0,0,0,0,0,0,0
FQUNIV,0,0,0,0,0,0,0
JQUNIV,0,0,0,0,0,0,0
KQUNIV,0,0,0,0,0,0,0
IQUNIV,0,0,0,0,0,0,0
BQUNIV,0,0,0,0,0,0,0
DQUNIV,0,0,0,0,0,0,0
GQUNIV,0,0,0,0,0,0,0
HQUNIV,0,0,0,0,0,0,0
CQUNIV,0,0,0,0,0,0,0
AQUNIV,0,0,0,0,0,0,0
DQLIFE,0,0,0,0,0,0,0
DQEDUT,0,0,0,0,0,0,0
FQFSEP,0,0,0,0,0,0,0
AEWYMO,0,0,0,0,0,0,0
XHDOCO,0,0,0,0,0,0,0
DHDRBD,0,0,0,0,0,0,0
EHIEUMTM,0,0,0,0,2,0,2
EHIEUMMS,0,0,0,0,0,0,0
EHMAEN,0,1,1,1,0,0,1
EHRUST,0,0,0,0,0,0,0
EHMATR,0,1,1,1,0,0,1
EHCOMT,0,0,0,0,0,0,0
EHSHEI,0,3,3,4,2,0,7
EHBOUW,1,0,2,1,2,0,3
EHBKSY,3,0,4,2,5,1,7
EHFSEN,0,0,0,0,0,0,0
EHPHOE,1,2,0,0,1,1,3
EHPHYS,0,0,0,0,0,0,0
EHELMEME,1,3,1,1,1,1,3
EHELMEMC,0,0,0,0,0,0,0
EHELMEMT,0,0,0,0,0,0,0
EHELMEEE,1,3,0,1,1,1,3
EHELMERA,0,0,0,0,0,0,0
HOCULAWI,0,0,0,0,0,0,0
HOCULAMO,0,0,0,0,0,0,0
HOCULAKU,0,0,0,0,0,0,0
HOCULAGE,0,0,0,0,0,0,0
HOCULZ,0,0,0,0,0,0,0
HOCULAAR,0,0,0,0,0,0,0
IM6MIL,0,1,2,1,1,3,3
EM6MAP,0,0,0,0,0,0,0
EM6ION,1,0,3,0,5,2,5
EM6ELTET,0,5,0,0,0,2,5
EM6ELTAU,0,2,0,0,0,1,2
EM6ELM,0,2,0,0,0,1,2
IM6BIW,0,1,2,3,2,1,5
IM6CHE,0,1,0,0,0,1,1
IM6BCH,0,0,0,0,0,0,0
EB6INWMP,0,4,0,0,1,2,4
EB6ION,0,2,2,1,4,2,6
IB6BIW,0,6,3,1,6,6,13
HOBSED,0,0,1,0,0,0,1
HOGEZDSG,0,0,0,0,0,0,0
HOGEZDMW,0,0,1,0,0,0,1
HOGEZJFW,0,0,1,0,0,0,1
HOGEZGDI,0,0,1,0,0,0,1
HOGEDHPS,0,0,0,0,0,0,0
HOGEDHPE,0,0,0,0,0,0,0
HOGEDZ,0,0,0,0,0,0,0
HOECOFTO,0,0,0,0,0,0,0
HOECOFHA,0,0,0,0,0,0,0
HOECOFEC,0,0,0,0,0,0,0
EZ6MPV,0,1,0,0,0,0,1
IZ6BIV,0,1,1,0,0,0,2
EZ6IOS,0,1,2,0,2,0,4
EZ6MPS,0,1,0,0,0,0,1
IZ6BIS,0,5,2,0,3,3,8
KCBSEU,0,0,0,0,0,0,0
EYIOFT,2,0,3,1,3,2,4
GTDOCO,0,0,0,0,0,0,0
AY7CTKFS,0,0,0,0,0,0,0
ADVERT,0,0,0,0,0,0,0
IDBIOI,0,0,0,0,1,0,1
ADMUZI,0,0,0,0,0,0,0
ADSHIE,0,0,0,0,0,0,0
JNZIFA,0,0,1,0,0,0,1
DNVERZ,0,0,0,0,0,0,0
CNSDAN,0,0,0,0,0,0,0
DNSPGEUR,0,0,0,0,0,0,0
DNSPECUR,0,0,0,0,0,0,0
DNSPECUG,0,0,0,0,0,0,0
DNSPGEUG,0,0,0,0,0,0,0
DNSPECSM,0,0,0,0,0,0,0
DNSPGESM,0,0,0,0,0,0,0
DNSPGERD,0,0,0,0,0,0,0
DNSPECRD,0,0,0,0,0,0,0
DNSPGERE,0,0,0,0,0,0,0
DNSPECRE,0,0,0,0,0,0,0
DNSPGERO,0,0,0,0,0,0,0
DNSPECRO,0,0,0,0,0,0,0
DNSPGEPV,0,0,0,0,0,0,0
DNSPECPV,0,0,0,0,0,0,0
DNSPECPK,0,0,0,0,0,0,0
ADGEDI,0,0,0,0,0,0,0
DNSPGEPK,0,0,0,0,0,0,0
JDFARM,0,0,0,0,0,0,0
DNSPECPN,0,0,0,0,0,0,0
KDEUST,0,0,0,0,0,0,0
FDEECO,0,0,0,0,0,0,0
HDSOWE,0,0,0,0,0,0,0
HDDIHU,0,0,0,0,0,0,0
KDDIHU,0,0,0,0,0,0,0
ADDIHU,0,0,0,0,0,0,0
BDDIHU,0,0,0,0,0,0,0
GDDIER,0,0,0,0,0,0,0
BDCRIM,0,0,0,0,0,0,0
KDCOMM,0,0,0,0,0,0,0
FDBEST,0,0,0,0,0,0,0
ADAZIA,0,0,0,0,0,0,0
ADARCH,0,0,0,0,0,0,0
ADAMST,0,0,0,0,0,0,0
ADAFRS,0,0,0,0,0,0,0
BDMARW,0,0,0,0,0,0,0
DNZIHI,0,1,0,0,1,0,1
ADDRAM,0,0,0,0,0,0,0
ADBKUN,0,0,0,0,0,0,0
EDWIIN,0,0,0,0,0,0,0
ADAVKU,0,0,0,0,0,0,0
EDWRKT,0,0,0,0,0,0,0
EDTNAT,0,0,0,0,0,0,0
EDTEXK,0,0,0,0,0,0,0
EDMARI,0,0,0,0,0,0,0
EDFOTO,0,0,0,0,0,0,0
EDMATE,0,0,0,0,0,0,0
EDELEK,0,0,0,0,0,0,0
EDCOMP,0,0,0,0,0,0,0
EDCHEM,0,0,0,0,0,0,0
EDBOUW,0,0,0,0,0,0,0
EDBIIR,0,0,0,0,0,0,0
EDBKSY,0,0,0,0,0,0,0
EDARCH,0,0,0,0,0,0,0
EDINGW,0,0,0,0,0,0,0
DDGEZO,0,0,0,0,0,0,0
IDFONU,0,0,0,0,1,0,1
IDBIOR,0,0,0,0,1,0,1
ADTAAL,0,0,0,0,0,0,0
ADTALE,0,0,0,0,0,0,0
EDSTED,0,0,0,0,0,0,0
CDSTDA,0,0,0,0,0,0,0
KDSOCI,0,0,0,0,0,0,0
BDRECH,0,0,0,0,0,0,0
HDPSYC,0,0,0,0,0,0,0
KDPOLI,0,0,0,0,0,0,0
HDPEDA,0,0,0,0,0,0,0
ADOOST,0,0,0,0,0,0,0
ADEURO,0,0,0,0,0,0,0
BDNOTA,0,0,0,0,0,0,0
ADMORA,0,0,0,0,0,0,0
ADMIDO,0,0,0,0,0,0,0
FDBUAD,0,0,0,0,0,0,0
ADLITE,0,0,0,0,0,0,0
ADKUNS,0,0,0,0,0,0,0
ADCULT,0,0,0,0,0,0,0
FDEBEC,0,0,0,0,0,0,0
EDFIRE,0,0,0,0,0,0,0
EDINDW,0,0,0,0,0,0,0
EDIDIN,0,0,0,0,0,0,0
EDIDIO,0,0,0,0,0,0,0
EDIDET,0,0,0,0,0,0,0
EDIDIC,0,0,0,0,0,0,0
EDIDEM,0,0,0,0,0,0,0
EDIDCH,0,0,0,0,0,0,0
EDIDBO,0,0,0,0,0,0,0
IDAGRI,0,0,0,0,1,0,1
IDMAMO,0,0,0,0,1,0,1
IDSOEC,0,0,0,0,1,0,1
IDNRES,0,0,0,0,1,0,1
IDENST,0,0,0,0,1,0,1
IDANAQ,0,0,0,0,1,0,1
IDCHEB,0,0,0,0,1,0,1
IDBIOT,0,0,0,0,1,0,1
ITDOCO,0,0,0,0,0,0,0
BTDOCO,0,0,0,0,0,0,0
ADWYSB,0,0,0,0,0,0,0
CDWISK,0,0,0,0,0,0,0
CDSTER,0,0,0,0,0,0,0
CDMARW,0,0,0,0,0,0,0
CDINFO,0,0,0,0,0,0,0
CDGEOM,0,0,0,0,0,0,0
CDGEOL,0,0,0,0,0,0,0
CDGEOF,0,0,0,0,0,0,0
CDGEOG,0,0,0,0,0,0,0
CDFYSI,0,0,0,0,0,0,0
CDCHEM,0,0,0,0,0,0,0
CDBIOT,0,0,0,0,0,0,0
CDBIOL,0,0,0,0,0,0,0
CDBIBI,0,0,0,0,0,0,0
CDBIOC,0,0,0,0,0,0,0
CDBIIN,0,0,0,0,0,0,0
CDWETE,0,0,0,0,0,0,0
AY7CTKFR,0,0,0,0,0,0,0
AY7CTKFT,0,0,0,0,0,0,0
AY7CTKDR,0,0,0,0,0,0,0
AY7CLM,0,0,0,0,0,0,0
AY7CIS,0,0,0,0,0,0,0
CYBLUE,0,0,0,0,0,0,0
DYALGO,0,0,0,0,0,0,0
ITSUPW,0,0,0,0,0,0,0
GTREPB,0,0,0,0,0,0,0
ETFEDC,0,0,0,0,0,0,0
ETCPLA,0,0,0,0,0,0,0
ETDOCO,0,0,0,0,0,0,0
CTDOCO,0,0,0,0,0,0,0
DTDOCO,0,0,0,0,0,0,0
JTDOCO,0,0,0,0,0,0,0
ATDOCO,0,0,0,0,0,0,0
HTDOCO,0,0,0,0,0,0,0
KTDOCO,0,0,0,0,0,0,0
FTDOCO,0,0,0,0,0,0,0
EYONDE,2,0,3,1,3,2,4
CYHYDB,0,0,0,0,0,0,0
DYGECO,0,0,0,0,0,0,0
FYACCO,0,0,0,0,0,0,0
EYFIRE,0,0,0,0,0,0,0
AY7DTR,0,0,0,0,0,0,0
DYSTRF,0,0,0,0,0,0,0
AYCUST,0,0,0,0,0,0,0
AY7CTKEF,0,0,0,0,0,0,0
AY7CTKET,0,0,0,0,0,0,0
AY7CTKFD,0,0,0,0,0,0,0
AY7CTKDT,0,0,0,0,0,0,0
AY7CTKFI,0,0,0,0,0,0,0
AY7CTKDS,0,0,0,0,0,0,0
AY7CTKDI,0,0,0,0,0,0,0
AY7CTKED,0,0,0,0,0,0,0
AY7CTKEI,0,0,0,0,0,0,0
AY7CTKER,0,0,0,0,0,0,0
KCBEFE,0,0,0,0,0,0,0
AY7CTKES,0,0,0,0,0,0,0
FCBEKU,0,0,0,0,0,0,0
FCATBE,0,0,0,0,0,0,0
KCAAJO,0,0,0,0,0,0,0
FCAFPS,0,0,0,0,0,0,0
FCACEC,0,0,0,0,0,0,0
CYWECL,9,0,1,0,0,1,9
DYBBAT,0,0,0,0,0,0,0
DYWOND,0,0,0,0,0,0,0
DYRAMP,0,0,0,0,0,0,0
DYRAPT,0,0,0,0,0,0,0
DYPTKJ,0,0,0,0,0,0,0
AYPRHU,0,0,0,0,0,0,0
GYPOULLA,0,0,0,0,0,0,0
GYPOULEU,0,0,0,0,0,0,0
GYPOULAZ,0,0,0,0,0,0,0
DYPEDR,0,0,0,0,0,0,0
DYNEUR,0,0,0,0,0,0,0
DYMANU,0,0,0,0,0,0,0
DNSPGEPN,0,0,0,0,0,0,0
BNIBLA,0,0,2,0,1,0,2
DNSPGEON,0,0,0,0,0,0,0
DNSPGECA,0,0,0,0,0,0,0
