id,climate,energy,environment,resources,sustainability,dedicated,total
00293-0000000641,0,0,0,0,0,0,0
00127-0000000355,0,0,0,0,0,0,0
00091-0000000303,0,0,0,0,0,0,0
00049-0000000055,0,0,1,0,2,2,2
00040-0000000018,0,0,0,0,0,0,0
00131-0000001837,1,0,0,0,1,1,2
00035-0000000001,0,0,0,0,1,0,1
00275-0000000629,0,0,0,0,0,0,0
00071-0000000123,0,0,0,0,1,0,1
00519-0000001220,0,0,0,0,0,0,0
00176-0000000456,3,4,4,0,11,4,11
00166-0000000442,4,0,1,1,4,3,7
00164-0000000440,1,2,0,1,2,2,4
00162-0000000438,0,0,0,0,4,0,4
00259-0000000606,0,0,0,0,1,0,1
00160-0000000988,1,1,3,1,8,4,9
00157-0000000431,4,4,6,2,15,3,17
00167-0000000443,1,2,2,0,4,0,8
00159-0000000432,1,10,12,1,20,4,21
00513-0000001176,0,0,0,0,0,0,0
00514-0000001178,1,3,0,0,0,1,3
00115-0000000333,0,0,0,0,0,0,0
00627-0000001770,0,0,0,0,0,0,0
00067-0000000100,1,0,0,0,0,1,1
00207-0000000535,4,1,3,2,4,4,7
00101-0000002064,0,0,0,0,0,0,0
00614-0000001730,0,0,0,0,0,0,0
00100-0000001725,0,0,0,0,0,0,0
00059-0000000074,0,0,0,0,1,1,1
00076-0000000279,0,0,0,0,0,0,0
00391-0000002140,0,0,0,0,1,0,1
00103-0000002000,0,0,1,0,1,1,2
00202-0000000521,7,0,8,1,4,6,12
00186-0000001218,1,1,1,2,1,2,5
00185-0000001146,1,0,1,1,1,2,3
00673-0000001976,0,0,3,0,0,3,3
00148-0000000416,0,0,0,0,0,0,0
00080-0000002088,0,0,0,0,1,0,1
00044-0000000044,0,0,0,0,1,1,1
00135-0000000380,2,0,0,1,4,3,4
00704-0000002047,0,0,1,0,0,0,1
00660-0000001936,0,0,0,0,0,0,0
00659-0000001929,0,0,0,0,0,0,0
00658-0000001968,0,0,0,0,0,0,0
00672-0000001951,0,0,0,0,0,0,0
00671-0000001949,0,0,0,0,0,0,0
00670-0000001966,0,0,0,0,0,0,0
00656-0000001921,0,0,0,0,0,0,0
00655-0000001962,0,0,0,0,0,0,0
00657-0000001925,0,0,0,0,0,0,0
00665-0000001945,0,0,0,0,0,0,0
00666-0000001946,0,0,0,0,0,0,0
00664-0000001875,0,0,3,0,0,3,3
00662-0000001943,0,0,0,0,0,0,0
00663-0000001944,0,0,0,0,0,0,0
00661-0000001874,0,0,1,0,1,1,2
00654-0000001902,0,0,0,0,0,0,0
00653-0000001900,0,0,0,0,0,0,0
00652-0000001958,0,0,0,0,0,0,0
00668-0000001947,0,0,0,0,0,0,0
00667-0000001957,0,0,0,0,0,0,0
00669-0000001948,0,0,0,0,0,0,0
00650-0000001886,0,0,0,0,0,0,0
00649-0000001953,0,0,0,0,0,0,0
00651-0000001890,0,0,0,0,0,0,0
00683-0000001993,0,0,0,0,0,0,0
00062-0000000081,1,0,0,0,0,0,1
00518-0000001209,0,0,0,0,0,0,0
00137-0000000394,1,0,1,1,1,1,1
00074-0000000126,0,0,1,0,1,0,1
00090-0000000298,0,1,0,0,0,0,1
00048-0000000053,0,0,0,0,0,0,0
00039-0000000965,0,0,0,0,0,0,0
00580-0000001640,1,0,0,0,0,0,1
00088-0000000293,0,0,0,0,0,0,0
00070-0000000106,1,0,1,0,1,0,2
00156-0000000430,0,2,4,11,14,2,15
00155-0000000993,0,2,1,3,3,2,5
00515-0000001182,0,4,1,1,1,1,4
00075-0000000253,0,0,0,0,0,0,0
00182-0000000475,2,0,1,0,2,2,5
00102-0000001089,0,0,0,0,0,0,0
00181-0000000468,1,0,7,0,0,5,8
00184-0000000960,0,1,3,0,1,1,4
