code,shift_score,shiftpatterns,class,teachers,climate_score,climate_patterns,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
DRHDB104,0.0,{},31,['ROMMELAERE Claire'],0.0,{},0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
DRHDB105,0.0,{},32,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DRHDB120,0.0,{},33,['ANDRÉ Mathias'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
DRHDB121,0.0,{},34,['RUFFO de BONNEVAL de LA FARE des COMTES de SINOPOLI de CALABRE Marie-Des-Neiges'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DRHDB141,0.0,{},35,"['Deville Guy', 'Vossen Léonie']",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DRHDB142,0.0,{},36,"['Fiévez François-Xavier', 'Perroux Christelle']",0.0,{},0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
DRHDB201,0.0,{},37,['Basecqz Nathalie'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DRHDB202,0.0,{},38,"['Cariat Nicolas', 'DE STREEL Alexandre']",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DRHDB203,0.0,{},39,['George Florence'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
DRHDB204,0.0,{},40,['MATHIEU Géraldine'],0.0,{},0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
DRHDB205,0.0,{},41,['Wattier Stéphanie'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DRHDB206,0.0,{},42,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DRHDB220,0.0,{},43,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
DRHDB240,0.0,{},44,['Deville Guy'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DRHDB301,0.0,{},45,['LAMBERT Charlotte'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DRHDB302,0.0,{},46,['Wattier Stéphanie'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
DRHDB303,0.0,{},47,"['Delvaux Marie', 'Hoc Arnaud']",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
DRHDB304,0.0,{},48,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DRHDB305,0.0,{},49,[],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DRHDB306,0.0,{},50,"['CUVELIER BENOIT', 'XAVIER François']",0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
DRHDB313,0.0,{},51,['Hoc Arnaud'],0.0,{},1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DRHDB316,0.0,{},52,['MICHAUX Benoit'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
DRHO2132,0.0,{},53,['DE TERWANGNE CÉCILE'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DRHO2133,0.0,{},54,['Blaise Noémie'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
DRHO2134,0.0,{},55,['RASSON Anne-Catherine'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
DRHO2135,0.0,{},56,['Ntampaka Charles'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
DRHO2142,0.0,{},57,['Blaise Noémie'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROI0967-1,0.0,{},58,[],0.0,{},0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
DROIB101,0.0,{},59,['Degrave Elise'],0.0,{},1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
DROIB102,0.0,{},60,['Vuye Hendrik'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DROIB103,0.0,{},61,['George Florence'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DROIB105,0.0,{},62,['Robaye René'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
