id,decarbonization,energy,consumption,environment,climatology,durability,society
MA-POLI,0,0,0,1,0,1,0
MA-SOCO,0,0,0,1,0,0,0
MA-COOP,0,0,0,3,0,1,0
MA-ANTR,0,0,0,1,0,0,0
MA-PINT,0,1,0,1,3,1,0
MA-LLANG,0,0,0,2,0,0,0
MA-ADMP,0,0,0,0,0,0,0
MA-PPHIL,0,0,0,0,1,0,0
MA-HHIST,0,0,0,0,0,0,0
MA-PRELA,0,0,0,0,0,0,0
MA-PGECU,0,0,0,1,0,0,0
MA-HMUSI,0,0,0,1,0,0,0
MA-PETHI,0,0,0,2,2,1,0
BA-BIME,0,0,0,0,0,0,0
BA-VETE,0,0,0,1,1,0,0
MA-HHAAR,0,0,0,1,0,0,0
BA-IRAR,0,0,0,1,0,1,0
BA-MEDI,0,1,0,0,0,0,0
BA-IRBI,0,2,0,5,2,3,0
BA-BIOL,0,0,0,5,3,1,0
BA-MATH,0,0,0,0,2,0,0
BA-PHYS,0,0,0,0,2,0,0
BA-SCIE,0,0,0,0,0,0,0
BA-GEOL,0,1,0,0,4,0,0
BA-IRCI,0,1,0,1,1,0,0
BA-INFO,0,1,0,1,2,0,0
BA-CHIM,0,0,0,0,2,0,0
BA-GEOG,0,1,0,2,6,0,0
BA-LOGO,0,0,0,0,0,0,0
BA-PSYE,0,0,0,0,0,0,0
BA-INGE,0,1,1,0,0,8,0
BA-ECON,0,1,1,0,1,7,1
BA-DROI,0,0,0,0,0,0,0
BA-ARCH,1,0,0,5,0,2,0
BA-TRAD,0,0,0,1,1,0,0
BA-LCLAS,0,0,0,0,0,0,0
BA-LGERM,0,0,0,0,0,0,0
BA-COMM,0,0,0,0,0,0,0
BA-SHUM,0,0,0,1,0,0,0
BA-LORIE,0,0,0,0,0,0,0
BA-POLI,0,0,0,0,0,0,0
BA-LROMA,0,0,0,0,0,0,0
BA-SOCA,0,0,0,1,0,0,0
BA-LSLAV,0,0,0,0,0,0,0
BA-HHIST,0,0,0,0,0,0,0
BA-HMUSI,0,0,0,0,0,0,0
BA-LLANG,0,0,0,0,0,0,0
BA-HHAAR,0,0,0,0,0,0,0
