id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
AUE13,0,0,0,0,0,0,0,0,0,0,0,0,0
AUE14,0,0,0,0,0,0,0,0,0,0,0,0,0
AUE21,0,0,0,0,0,0,0,0,1,1,0,0,0
AUE23,0,0,0,0,0,0,0,0,0,0,0,0,0
AUE41,0,0,0,0,0,0,0,0,0,0,0,0,0
AUE24,0,0,0,0,0,0,0,0,0,0,0,0,0
AUE42,0,0,0,0,0,0,0,0,0,0,0,0,0
AUE44,0,0,0,0,0,0,0,0,0,0,0,0,0
C11,0,0,0,0,0,0,0,0,0,0,0,0,0
C12,0,0,0,0,0,0,0,0,0,0,0,0,0
C13,0,0,0,0,0,0,0,0,0,0,0,0,0
C14,0,0,0,0,0,0,0,0,0,0,0,0,0
C15,0,0,0,0,0,0,0,0,0,0,0,0,0
C16,0,0,0,0,0,0,0,0,0,0,0,0,0
C17,0,0,0,0,0,0,0,0,0,0,0,0,0
C21,0,0,0,0,0,0,0,0,0,0,0,0,0
C22,0,0,0,0,0,0,0,0,0,0,0,0,0
C23,0,0,0,0,0,0,0,0,0,0,0,0,0
C24,0,0,0,0,0,0,0,0,0,0,0,0,0
C31,0,0,0,0,0,0,0,0,0,0,0,0,0
C310,0,0,0,0,0,0,0,0,0,0,0,0,0
C32,0,0,0,0,0,0,0,0,0,0,0,0,0
C33,0,0,0,0,0,0,0,0,0,0,0,0,0
C34,0,0,0,0,0,0,0,0,0,0,0,0,0
C35,0,0,0,0,0,0,0,0,0,0,0,0,0
C36,0,0,0,0,0,0,0,0,0,0,0,0,0
C37,0,0,0,0,0,0,0,0,0,0,0,0,0
C38,0,0,0,0,0,0,0,0,0,0,0,0,0
C39,0,0,0,0,0,0,0,0,0,0,0,0,0
C41,0,0,0,0,0,0,0,0,0,0,0,0,0
C42,0,0,0,0,0,0,0,1,0,0,0,0,0
C43,0,0,0,0,0,0,0,0,0,0,0,0,0
C44,0,0,0,0,0,0,0,0,0,0,0,0,0
C45,0,0,0,0,0,0,0,0,0,0,0,0,0
C51,0,0,0,0,0,0,0,0,0,0,0,0,0
C510,0,0,0,0,0,0,0,0,0,0,0,0,0
C52,0,0,0,0,0,0,0,0,0,0,0,0,0
C53,0,0,0,0,0,0,0,0,0,0,0,0,0
C54,0,0,0,0,0,0,0,0,0,0,0,0,0
C55,0,0,0,0,0,0,0,0,0,0,0,0,0
C56,0,0,0,0,0,0,0,0,0,0,0,0,0
C57,0,0,0,0,0,0,0,0,0,0,0,0,0
C58,0,0,0,0,0,0,0,0,0,0,0,0,0
C59,0,0,0,0,0,0,0,0,0,0,0,0,0
CF3C0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF3E0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF3F0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF3G0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF3J0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG3C0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG3D0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG3F0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG3I0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX1C0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX1D0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX1F0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX1I0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX1J0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX1M0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX1N0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX1O0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX1P0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX1R0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX2C0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX2D0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX2F0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX2I0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX2K0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX2N0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX2P0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX2Q0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX2R0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX2S0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX2T0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX3B0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX3O0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX3P0,0,0,0,0,0,0,0,0,0,0,0,0,0
E11,0,0,0,0,0,0,0,0,0,0,0,0,0
E12,0,0,0,0,0,0,0,0,0,0,0,0,0
E13,0,0,0,0,0,0,0,0,0,0,0,0,0
E14,0,0,0,0,0,0,0,0,0,0,0,0,0
E15,0,0,0,0,0,0,0,0,0,0,0,0,0
E16,0,0,0,0,0,0,0,0,0,0,0,0,0
E17,0,0,0,0,0,0,0,0,0,0,0,0,0
E21,0,0,0,0,0,0,0,0,0,0,0,0,0
E22,0,0,0,0,0,0,0,0,0,0,0,0,0
E23,0,0,0,0,0,0,0,0,0,0,0,0,0
E24,0,0,0,0,0,0,0,0,0,0,0,0,0
E25,0,0,0,0,0,0,0,0,0,0,0,0,0
E26,0,0,0,0,0,0,0,0,0,0,0,0,0
E31,0,0,0,0,0,0,0,0,0,0,0,0,0
E310,0,0,0,0,0,0,0,0,0,0,0,0,0
E32,0,0,0,0,0,0,0,0,0,0,0,0,0
E33,0,0,0,0,0,0,0,0,0,0,0,0,0
E34,0,0,0,0,0,0,0,0,0,0,0,0,0
E35,0,0,0,0,0,0,0,0,0,0,0,0,0
E36,0,0,0,0,0,0,0,0,0,0,0,0,0
E37,0,0,0,0,0,0,0,0,0,0,0,0,0
E38,0,0,0,0,0,0,0,0,0,0,0,0,0
E39,0,0,0,0,0,0,0,0,0,0,0,0,0
E3OSP,0,0,0,0,0,0,0,0,0,0,0,0,0
E41,0,0,0,0,0,0,0,0,0,0,0,0,0
E42,0,0,0,0,0,0,0,1,0,0,0,0,0
E43,0,0,0,0,0,0,0,0,0,0,0,0,0
