id,climate,energy,environment,durability
LANGL1881,0,0,0,0
LANGL1882,0,1,0,0
LANGL1971,0,0,0,0
LANGL1972,0,0,0,0
LANGL1973,0,0,0,0
LANGL2423,0,0,0,0
LANGL2431,0,0,0,0
LANGL2432,0,0,0,0
LANGL2433,0,0,0,0
LANGL2440,0,0,0,0
LANGL2451,0,0,0,0
LANGL2453,0,0,0,0
LANGL2454,0,0,0,0
LANGL2480,0,0,0,0
LANGL2600,0,0,0,0
LANGL2601,0,0,0,0
LANGL2623,0,0,0,0
LANGL2710,0,0,0,0
LANGL2711,0,0,0,0
LANGL2712,0,0,0,0
LANSO1390,0,0,0,0
LANSO1391,0,0,0,0
LANSO1392,0,0,0,0
LANSO1393,0,0,0,0
LANTR2000,0,0,0,0
LANTR2005,0,0,0,0
LANTR2010,0,0,0,0
LANTR2015,0,0,0,0
LANTR2020,0,0,0,0
LANTR2030,0,0,0,0
LANTR2035,0,0,0,0
LANTR2045,0,0,0,0
LANTR2055,0,0,0,0
LANTR2080,0,0,0,0
LANTR2095,0,0,0,0
LANTR2100,0,0,0,0
LANTR2130,0,0,0,0
LANTR2140,0,0,0,0
LANTR2900,0,0,0,0
LANTR2901,0,0,0,0
LANTR2950,0,0,0,0
LARAB1100,0,0,0,0
LARAB1102,0,0,0,0
LARAB1301,0,0,0,0
LARAB1302,0,0,0,0
LARAB1303,0,0,0,0
LARAB2500,0,0,0,0
LARKE1110,0,0,0,0
LARKE1120,0,0,0,0
LARKE1140,0,0,0,0
LARKE1145,0,0,0,0
LARKE1150,0,0,0,0
LARKE1151,0,0,0,0
LARKE1220,0,0,0,0
LARKE1225,0,0,0,0
LARKE1230,0,0,0,0
LARKE1235,0,0,0,0
LARKE1240,0,0,0,0
LARKE1245,0,0,0,0
LARKE1320,0,0,0,0
LARKE1325,0,0,0,0
LARKE1351,0,0,0,0
LARKE1352,0,0,0,0
LARKE1552,0,0,0,0
LARKE1553,0,0,0,0
LARKE1554,0,0,0,0
LARKE1555,0,0,0,0
LARKE1556,0,0,0,0
LARKE1557,0,0,0,0
LARKE1559,0,0,0,0
LARKE2710,0,0,0,0
LARKE2720,0,0,0,0
LARKE2890,0,0,0,0
LARKE2892,0,0,0,0
LARKE2898,0,0,0,0
LARKE2910,0,0,0,0
LARKE2920,0,0,0,0
LARKE9001,0,0,0,0
LARKO2270,0,0,0,0
LARKO2290,0,0,0,0
LARKO2322,0,0,0,0
LARKO2323,0,0,0,0
LARKO2324,0,0,0,0
LARKO2340,0,0,0,0
LARKO2341,0,0,0,0
LARKO2350,0,0,0,0
LARKO2360,0,0,0,0
LARKO2370,0,0,0,0
LARKO2371,0,0,0,0
LARKO2385,0,0,0,0
LARKO2400,0,0,0,0
LARKO2410,0,0,0,0
LARKO2673,0,0,0,0
LARKO2674,0,0,0,0
LARKO2675,0,0,0,0
LARKO2676,0,0,0,0
LARKO2677,0,0,0,0
LASI1300,0,0,0,0
LASI1301,0,0,0,0
LASI1302,0,0,0,0
LASI1304,0,0,0,0
LBARC1101,0,0,0,0
LBARC1102,0,0,0,0
LBARC1105,0,0,0,0
LBARC1120,0,0,0,0
LBARC1121,0,0,0,0
LBARC1122,0,0,0,0
LBARC1123,0,0,0,0
LBARC1140,0,0,0,0
LBARC1142,0,0,1,0
LBARC1143,0,0,0,0
LBARC1144,0,0,0,0
LBARC1160,0,0,0,0
LBARC1164,0,0,0,0
