code,shift_score,shiftpatterns,class,teachers,climate_score,climate_patterns,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
EDPH0694-1,0.0,{},31,"['Stéphanie\xa0Hody', 'Boris\xa0Jidovtseff', 'Alexandre\xa0Mouton', 'Catherine\xa0Theunissen']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GEST5001-1,0.0,{},32,['Pierre\xa0Deneye'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCH3279-1,0.0,{},33,['Patricia\xa0Scheffers'],0.0,{},0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
GEST5002-1,0.0,{},34,['Pierre\xa0Deneye'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCH0086-1,0.0,{},35,['Patricia\xa0Scheffers'],0.0,{},0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
DENT1013-1,0.0,{},36,['Collégialité'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCH0091-1,0.0,{},37,['Patricia\xa0Scheffers'],0.0,{},0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
KINE0540-2,0.0,{},38,"['Didier\xa0Maquet', 'Marc\xa0Vanderthommen', 'Didier\xa0Maquet']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KINE0540-1,0.0,{},39,"['Marc\xa0Vanderthommen', 'Didier\xa0Maquet', 'Marc\xa0Vanderthommen']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KINE0646-1,0.0,{},40,"['Boris\xa0Jidovtseff', 'Marc\xa0Vanderthommen']",0.0,{},0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MCER0176-1,0.0,{},41,['Collégialité'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MECA0139-1,0.0,{},42,"['Thierry\xa0Dormal', 'Anne\xa0Mertens']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
YCER0001-1,0.0,{},43,['Anne-Marie\xa0Etienne'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANIM0019-1,0.0,{},44,"['Yves\xa0Beckers', 'Nadia\xa0Everaert']",0.0,{},0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANG0001-1,0.0,{},45,"['André\xa0Gothot', 'Mélanie\xa0Monfort']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HULG0417-1,0.0,{},46,['N...'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFO8013-1,0.0,{},47,"['Benoît\xa0Donnet', 'Laurent\xa0Mathy']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFO0954-1,0.0,{},48,['Patrick\xa0Meyer'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDOC0063-1,0.0,{},49,['Alain\xa0Vanderplasschen'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIM9245-1,0.0,{},50,['Giorgia\xa0Purcaro'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHAR2020-1,0.0,{},51,"['Brigitte\xa0Evrard', 'Marianne\xa0Fillet', 'Pierre\xa0Francotte', 'Michel\xa0Frederich', 'Philippe\xa0Hubert', 'Géraldine\xa0Piel', 'Bernard\xa0Pirotte', 'Anne-Catherine\xa0Servais', 'Eric\xa0Ziemons']",0.0,{},0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GEST7052-1,0.0,{},52,"['Laurent\xa0\xa0Stas\xa0de\xa0Richelle', 'Wilfried\xa0Niessen', 'Matthieu\xa0Simon', 'Robin\xa0Crunenberg', 'Robin\xa0Crunenberg', 'Robin\xa0Crunenberg']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
SBIM2019-1,0.0,{},53,"['Alain\xa0Chariot', 'Pierre\xa0Francotte', 'Christian\xa0Grandfils', 'Julien\xa0Hanson', 'Géraldine\xa0Piel']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KINE0642-1,0.0,{},54,['Boris\xa0Jidovtseff'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOG0267-1,0.0,{},55,"['Roland\xa0Billen', 'Jean-Marie\xa0Halleux']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANIM0031-1,0.0,{},56,['Nicolas\xa0Gengler'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GENU2003-1,0.0,{},57,['Collégialité'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FINA0065-1,0.0,{},58,['Marie\xa0Lambert'],0.0,{},0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GENU2013-1,0.0,{},59,"['Christophe\xa0Bruggeman', 'Hubert\xa0Druenne']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECON0213-1,0.0,{},60,"['Lionel\xa0Artige', 'Bernard\xa0Lejeune']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANG6003-1,0.0,{},61,"['Yasmine\xa0Badir', 'Ellen\xa0Harry']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LANG5001-1,0.0,{},62,"['Yasmine\xa0Badir', 'Jérôme\xa0Gaillard', 'Andrea\xa0Tudino']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANG6002-1,0.0,{},63,"['Yasmine\xa0Badir', 'Clara\xa0Brereton']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERAS0014-1,0.0,{},64,['Jonathan\xa0Solheid'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANG0988-1,0.0,{},65,"['Christine\xa0Filot', 'Adnan\xa0Vesseur']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DROI1351-1,0.0,{},66,['David\xa0Anderson'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANG0074-1,0.0,{},67,"['Christine\xa0Filot', 'Ellen\xa0Harry', 'Kevin\xa0Noiroux']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
