patterns,themes
agro[- ]?klimatologie,['food']
agro[- ]?ecologie,['food']
agro[- ]?ecosystee?m,['food']
agro[- ]?bosbouw,['food']
korte[- ]?keten landbouw,['food']
lokale (?:voedsel|landbouw),['food']
(?:uitputting van visbestanden|visbestanden uitputting),['food']
duurzame visserij,['food']
permacultuur,['food']
overbevissing,['food']
duurzame chemie,['prod&cons']
duurzaa?me? (?:consum|verbruik),['prod&cons']
veraantword (?:consum|verbruik),['prod&cons']
eco[- ]?conception,['prod&cons']
eco[- ]?ontwerp,['prod&cons']
eco[- ]?verantwoordelijk,['prod&cons']
eco[- ]?technologie,['prod&cons']
rebound[ -]?effect,['prod&cons']
duurzame engineering,['prod&cons']
duurzame productie,['prod&cons']
groene technologie,['prod&cons']
duurzame technologie,['prod&cons']
milieuvriendelijke technologie,['prod&cons']
waterbehandeling,['pollution']
bio[- ]?afbreekbaar,['pollution']
bio[- ]?remediering,['pollution']
(?:bodemvervuiling|vervuiling van bodem),['pollution']
vervuilingsbeheersing,['pollution']
(?:nucleair|radioactief) afval,['pollution']
ecotoxicologie,['pollution']
waterzuivering,['pollution']
vervuil,['pollution']
lucht[ -]?kwaliteit,['pollution']
milieu ?dumping,['pollution']
milieu ?toxicologie,['pollution']
levenscyclus ?(?:analyse|beoordeling),['resources']
efficient (?:gebruik van hulpbronnen|hulpbronnen gebruiken),['resources']
duurzame exploitatie,['resources']
(?:grondwater|aquifer|freatische zone),['resources']
piekolie,['resources']
uitputting van natuurlijke hulpbronnen,['resources']
zeldzaam[- ]?aard[e]?metaal,['resources']
"[(?:waterbeheer|beheer van (?:de )?water), milieu]",['resources']
"[recycling, staal]",['resources']
"[recycling, afval]",['resources']
"[recycling, materiaal]",['resources']
"[recycling, metaal]",['resources']
"[recycling, plastic]",['resources']
"[watervoorraad, milieu]",['resources']
bio[- ]?brandstof,['transport']
bio[- ]?diesel,['transport']
bio[- ]?m?ethanol,['transport']
alternatieve brandstof,['transport']
synthetische brandstof,['transport']
micro[- ]?mobiliteit,['transport']
waterstofmobiliteit,['transport']
elektrische mobiliteit,['transport']
duurzame mobiliteit,['transport']
gedeelde mobiliteit,['transport']
duurzaam transport,['transport']
[[ ]fiets],['transport']
waterstof(?:voertuig|auto),['transport']
hybride?(?:voertuig|auto),['transport']
elektrische?(?:voertuig|auto),['transport']
circulaire economie,['economy']
economie van de commons,['economy']
iso 1400,['economy']
groene micro[- ]?financiering,['economy']
donut (?:econom|theorie),['economy']
collapsologie,['general']
