patterns,themes
approches? bioclimat,['building']
agglomerations? durab,['building']
architectur[^ ]+ bioclimatique,['building']
architectures? durab,['building']
conceptions? bioclimat,['building']
conceptions? energ[^ ]+ (?:des|du) batiment,['building']
constructions? durab,['building']
constructions? (?:basse energie|passive),['building']
eco[ -]?construction,['building']
etalements? urbain,['building']
permis (?:d )environnement,['building']
villes? durab,['building']
"[amenagements? du territoire, (?:environnement|ecosyst)]",['building']
"[amenagements? du territoire, durab]",['building']
"[economies? d energie, batiment]",['building']
"[economies? d energie, industrie]",['building']
"[performances? energ[^ ]+, batiment]",['building']
"[performances? energ[^ ]+, architecture]",['building']
bas[- ]carbon,['carbon']
bilans? carbon,['carbon']
captures? (?:du |de )?(?:co2|dioxyde de carbone),['carbon']
conversi[^ ]+ (?:du |de )?(?:co2|dioxyde de carbone),['carbon']
cycles? du carbone,['carbon']
decarbon,['carbon']
emissions? (?:du |de )?(?:co2|dioxyde de carbone),['carbon']
empreint[^ ]+ carbon,['carbon']
neutr[^ ]+ (?:en )carbon,['carbon']
sequestrat[^ ]+ (?:du |de )?(?:co2|dioxyde de carbone),['carbon']
stock[^ ]* (?:du |de )?(?:co2|dioxyde de carbone),['carbon']
valorisat[^ ]+ (?:du |de )?(?:co2|dioxyde de carbone),['carbon']
(?:^|[^a-z])cop ?[0-9]+,['climate']
"[accords? de paris, climat]",['climate']
adaptations? climat,['climate']
changements? climat,['climate']
climatolog,['climate']
climato[ - ]?scept,['climate']
crises? climat,['climate']
dereglements? climat,['climate']
effets? (?:de )?serre,['climate']
enjeux? climat,['climate']
glaciolog,['climate']
impacts? climat,['climate']
instabilites? climat,['climate']
justices? climat,['climate']
migra[^ ]+ climat,['climate']
model[^ ]+ climat,['climate']
politiques? climat,['climate']
project[^ ]+ climat,['climate']
questions? climat,['climate']
rechauffements? climat,['climate']
rechauffements? (?:de la planete|planetaire),['climate']
refugies? climat,['climate']
strategies? climat,['climate']
transiti[^ ]+ climat,['climate']
urgences? climat,['climate']
bio[ -]?ga(?:z|s),['energy']
electri[^ ]+ photovol,['energy']
electri[^ ]+ verte,['energy']
energ[^ ]+ alternati,['energy']
energ[^ ]+ eolien,['energy']
energ[^ ]+ fossile,['energy']
energ[^ ]+ renouvelable,['energy']
energ[^ ]+ verte,['energy']
hydroelec,['energy']
micro[- ]?reseau,['energy']
panneaux? photovol,['energy']
panneaux? solaires? thermique,['energy']
solaire a concentration,['energy']
transiti[^ ]+ energ,['energy']
"[biomasse, productions? (?:d )?(?:energ|elec)]",['energy']
"[energie, durab]",['energy']
"[nucleaire, productions? (?:d )?(?:energ|elec)]",['energy']
(?:red[^ ]+|diminu[^ ]+) (?:de la|des) consom[^ ]+ (?:d )?energ,['energy']
"[[ ]ecolo[^ ]+]",['life']
acidifications? (?:des|de l) ocean,['life']
anthropocen(?:e|ique),['life']
anthropologies? (?:de l )?environnement,['life']
benefices? (?:environnement|ecosyst),['life']
bien[- ]etre (?:animal|des animaux),['life']
biodiversite,['life']
biologies? de la conservation,['life']
biologies? environnemental,['life']
biologies? marine,['life']
biosphere,['life']
bio[ -]?indicateur,['life']
bio[ -]?source,['life']
conservations? de la nature,['life']
considerations? environnement,['life']
degradations? (?:des|du) sol,['life']
ecophysiologi,['life']
exigences? (?:environnement|ecosyst),['life']
crises? d extinction,['life']
crises? (?:environnement|ecosyst),['life']
cycles? bio-?geo-?chimique,['life']
defis? (?:environnement|ecosyst),['life']
deforestation,['life']
deteriorations? (?:environnement|ecosyst),['life']
droits? (?:d |de l )?environnement,['life']
durabilites? (?:(?:socio-?)?environnement|ecosyst),['life']
ecotourisme,['life']
educations? (?:a l )?environnement,['life']
enjeux? (?:environnement|ecosyst),['life']
en voie d extinction,['life']
especes? protege,['life']
ethiques? animal,['life']
ethiques? environnement,['life']
extinctions? (?:des|de l) espece,['life']
extinctions? (?:de masse|massive),['life']
genies? de l environnement,['life']
gestions? (?:des? )?ressources? naturelle,['life']
gouvernance (?:environnement|ecosyst),['life']
impacts? (?:environnement|ecosyst),['life']
limites? planet,['life']
luttes? biologique,['life']
managements? environnemental,['life']
migra[^ ]+ environnement,['life']
oceanograph,['life']
performances? environnement,['life']
pertes? (?:environnement|ecosyst),['life']
politiques? (?:environnement|ecosyst),['life']
preoccupations? (?:environnement|ecosyst),['life']
problemes? (?:environnement|ecosyst),['life']
problematiques? (?:d |de l )?environnement,['life']
protections? de la nature,['life']
protections? (?:de l )?environnement,['life']
psychologies? (?:de l )?environnement,['life']
questions? (?:environnement|ecosyst),['life']
rapports? homme[- ]animal,['life']
reglement[^ ]* (?:environnement|ecosyst),['life']
reserves? naturel,['life']
