patterns,themes
"[pollution, cours d'eau]",['environment']
"[pollution, ocean]",['environment']
"[pollution, pesticide]",['environment']
"[pollution, phreatique]",['environment']
"[recyclage, environnement]",['resources']
"[solutions? durab[^ ]+, (?:environnement|ecologie)]",['sustainability']
"[solutions? durab[^ ]+, impact]",['sustainability']
"[terres rares, durabilite]",['resources']
"[terres rares, environnement]",['resources']
"[terres rares, extraction]",['resources']
"[terres rares, impact]",['resources']
accords? de paris(?:(?: sur| pour) le climat)?,['climate']
actions? (?:pour )?(?:le )?climat[^ ]+,"['climate']"
adaptations? (?:aux? )?(?:changements? )?climat[^ ]+,['climate']
agglomeration durable,['sustainability']
agriculture biologique,['misc']
agriculture durable,['sustainability']
agro-?ecologie,['misc']
agro-?foresterie,['misc']
agro[- ]?ecolo[^ ]+,['environment']
analyse (?:de )?cycle (?:de )?vie,"['resources', 'sustainability']"
architectures? durab[^ ]+,"['resources', 'sustainability']"
assainissements? des eaux,['misc']
attenu[^ ]+ climat[^ ]+,['climate']
bas[- ]carbon[^ ]+,"['climate', 'energy']"
bilan[^ ]+ carbon[^ ]+,"['climate', 'energy']"
captures? (?:du |de )?(?:co2|dioxyde de carbone),"['climate', 'energy']"
"chimie (?:[^ ]+ ){0,4}verte",['environment']
climato-?scept[^ ]+,['climate']
collapsologie,['sustainability']
conditions? climat[^ ]+,"['climate']"
conditions? meteo[^ ]+ extr[^ ]+,"['environment', 'climate']"
consom[^ ]+ durab[^ ]+,['sustainability']
contaminations? (?:ecosyst[^ ]+|ecolo[^ ]+),['environment']
context[^ ]+ climat[^ ]+,['climate']
conversi[^ ]+(?:du |de )?(?:co2|dioxyde de carbone),"['climate', 'energy']"
crises? ecologiqu,['environment']
crises? environnement,['environment']
cycle du carbone,['misc']
decarbon[^ ]+,"['climate', 'energy']"
deteriorations? (?:ecosyst[^ ]+|ecolo[^ ]+),['environment']
defis? (?:environnement|ecolo[^ ]+),['environment']
deforestation,['resources']
diplomatie climat[^ ]+,['climate']
droits? (?:d'|de l')?environnement,['environment']
durabilite climat,['sustainability']
durabilite environnement,['sustainability']
écologiste,['environment']
economie circulaire,"['sustainability', 'resources']"
economie des communs,['sustainability']
economie ecologique,['sustainability']
ecoresponsab[^ ]+,['environment']
effica[^ ]+ energ[^ ]+,['energy']
effica[^ ]+ (?:des )?ressource,"['sustainability', 'resources']"
effondrement (?:des? )stock,['resources']
electri[^ ]+ photovol[^ ]+,['energy']
emissions? (?:du |de )?(?:co2|dioxyde de carbone),['climate']
empreint[^ ]+ carbon[^ ]+,"['climate', 'energy']"
energ[^ ]+ eolien,['energy']
energ[^ ]+ fossile,['energy']
energ[^ ]+ renouvelab[^ ]+,['energy']
energ[^ ]+ solaire,['energy']
energ[^ ]+ verte,['energy']
enjeux? climat[^ ]+,['climate']
epuisement halieutique,['resources']
epuisement (?:des? )?ressources? naturelle,['resources']
epurations? des eaux,['misc']
evenements? meteo[^ ]+ extr[^ ]+,"['climate', 'environment']"
exploitation durable,['resources']
forcages? climat[^ ]+,['climate']
foret durable,['resources']
geoingenierie,['climate']
gestio[^ ]+ durab[^ ]+,['sustainability']
gestion (?:du |des )?chang[^ ]+ climat[^ ]+,['sustainability']
gestion[^ ]+ envir[^ ]+,['environment']
impacts? (?:ecosyst[^ ]+|ecolo[^ ]+),['environment']
impacts? climat[^ ]+,['climate']
justices? climat[^ ]+,['climate']
materiaux ecolog[^ ]+,['resources']
mobilite (?:a )?hydrog[^ ]+,['energy']
mobilite electriques?,['energy']
model[^ ]+ climat[^ ]+,['climate']
objectifs? (de )?developpements? durables?,['sustainability']
panneaux? photovol[^ ]+,['energy']
peche durable,['resources']
permaculture,['misc']
pertes? (?:ecosyst[^ ]+|ecolo[^ ]+),['environment']
pic (?:d')?extraction,['resources']
pic petrolier,['resources']
planifications? (?:du |des )chang[^ ]+ climat[^ ]+,['sustainability']
politiques? climat[^ ]+,['climate']
politiques? (?:en )?matieres? (?:de )?chang[^ ]+ climat[^ ]+,['sustainability']
pratiques? durabl[^ ]+,['sustainability']
processus climat[^ ]+,['climate']
produ[^ ]+ durab[^ ]+,['sustainability']
project[^ ]+ climat[^ ]+,['climate']
protection (?:de l')?environnement,['environment']
physique (?:du )?climat[^ ]+,['climate']
questions? climat[^ ]+,['climate']
rechauffement climat[^ ]+,['climate']
refugies? climatiques?,['climate']
resist[^ ]+ climat[^ ]+,"['climat', 'sustainability']"
rarefaction (des )?ressources naturelles,['resources']
risques? (?:lies? )?(?:au )?climat[^ ]+,"['climate', 'sustainability']"
sequestrat[^ ]+ (?:du |de )?(?:co2|dioxyde de carbone),"['climate', 'energy']"
services? ecosystemiq,['misc']
