patterns,themes
(?:^|[^a-z])cop ?[0-9]+,['climate']
(?:co2?|kooldioxide)[- ]uistoot|uistoot van (?:co2?|kooldioxide),['climate']
(?:co2?|koolstof)[- ]afvang|afvang van (?:co2?|koolstof),['climate']
(?:co2?|koolstof)[- ]conversie|conversie van (?:co2?|koolstof),['climate']
(?:co2?|koolstof)[- ]omzetting|omzetting van (?:co2?|koolstof),['climate']
(?:co2?|koolstof)[- ]opname|opname van (?:co2?|koolstof),['climate']
(?:co2?|koolstof)[- ]opslag|opslag van (?:co2?|koolstof),"['climate', 'energy']"
(?:co2?|koolstof)[- ]opvang|opvang van (?:co2?|koolstof),['climate']
(?:co2?|koolstof)[- ]sekwestratie|sekwestratie van (?:co2?|koolstof),"['climate', 'energy']"
(?:co2?|koolstof)[- ]vangst|vangst van (?:co2?|koolstof),['climate']
(?:co2?|koolstof)[- ]vastlegging|vastlegging van (?:co2?|koolstof),['climate']
(?:co2?|koolstof)[- ]voetafdruk|voetafdruk van (?:co2?|koolstof),['climate']
(?:co2?|koolstof)[- ]waardering|waardering van (?:co2?|koolstof),"['climate', 'energy']"
(?:ecosyst[^ ]+|[ ]ecolo[^ ]+) ?achteruitgang,['environment']
(?:ecosyst[^ ]+|[ ]ecolo[^ ]+) ?crisis,['environment']
(?:ecosyst[^ ]+|[ ]ecolo[^ ]+) ?impact,['environment']
(?:ecosyst[^ ]+|[ ]ecolo[^ ]+) ?uitdaging,['environment']
(?:ecosyst[^ ]+|[ ]ecolo[^ ]+) ?verlies,['environment']
(?:ecosyst[^ ]+|[ ]ecolo[^ ]+) ?verslechtering,['environment']
(?:globale?|wereldwijde?) gemiddelde temperatuur,"['climate', 'environment']"
(?:smeltende|dooi) permafrost,"['climate', 'environment']"
"[besmetting, grondwater]",['environment']
"[besmetting, ocea+n]",['environment']
"[besmetting, stro+m]",['environment']
"[besmetting, watervoerende laag]",['environment']
"[bio(?:diversiteit|sfeer), [ ]ecolo[^ ]+]",['environment']
"[bio(?:diversiteit|sfeer), ecosyst[^ ]+]",['environment']
"[bio(?:diversiteit|sfeer), erosie, milieu|[ ]ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversiteit|sfeer), evolutie, milieu|[ ]ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversiteit|sfeer), gevolg, milieu|[ ]ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversiteit|sfeer), impact, milieu|[ ]ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversiteit|sfeer), ineenstorting, milieu|[ ]ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversiteit|sfeer), proble+m, milieu|[ ]ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversiteit|sfeer), uitsterven, milieu|[ ]ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversiteit|sfeer), vernietiging, milieu|[ ]ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bioklima+t[^ ]* ontwerp, duurza+m(?:heid)?, energ[^ ]+ ?systeem]",['environment']
bioklimatische? architect,['energy']
"[bioklima+t[^ ]*, energ[^ ]+]",['energy']
"[degradatie, ecosyst[^ ]+, environment]",['environment']
"[degradatie, grondwater]",['environment']
"[degradatie, ocea+n]",['environment']
"[degradatie, stro+m]",['environment']
"[degradatie, watervoerende laag]",['environment']
"[duurza+m(?:heid)?, mobiliteit]",['sustainability']
"[duurzame architectuur, [ ]ecolo[^ ]+, materia+l]",['sustainability']
"[duurzame constructie, [ ]ecolo[^ ]+, materia+l]",['sustainability']
"[duurzame ontwikkeling, anthropoceen]",['sustainability']
"[duurzame ontwikkeling, energietransitie]",['sustainability']
"[duurzame ontwikkeling, impact]",['sustainability']
"[duurzame ontwikkeling, klima+t[^ ]* ?transitie]",['sustainability']
"[duurzame ontwikkeling, materia+l, storting]",['sustainability']
"[duurzame ontwikkeling, milieu, [ ]ecolo[^ ]+|ecosyst[^ ]+]",['sustainability']
"[duurzame ontwikkeling, milieu-?impact]",['sustainability']
"[duurzame ontwikkeling, milieu-?proble+m]",['sustainability']
"[duurzame ontwikkeling, milieu-?recht]",['sustainability']
"[duurzame ontwikkeling, milieu-?verstoring]",['sustainability']
"[duurzame ontwikkeling, milieu-?wet]",['sustainability']
"[duurzame ontwikkeling, milieueffect]",['sustainability']
"[duurzame ontwikkeling, milieu|[ ]ecolo[^ ]+]",['sustainability']
"[duurzame ontwikkeling, sociaal transitie]",['sustainability']
"[duurzame ontwikkeling, transitie]",['sustainability']
"[duurzame oplossing, impact]",['sustainability']
"[duurzame oplossing, milieu|[ ]ecolo[^ ]+]",['sustainability']
"[[ ]ecolo[^ ]+, antropoceen]",['environment']
"[[ ]ecolo[^ ]+, duurzaamheid]","['environment', 'sustainability']"
"[[ ]ecolo[^ ]+, energ[^ ]+ ?transitie]","['environment', 'energy']"
"[[ ]ecolo[^ ]+, klima+t[^ ]* ?transitie]","['environment', 'climate']"
"[[ ]ecolo[^ ]+, klima+t[^ ]*, landbouw]","['climate', 'environment']"
"[[ ]ecolo[^ ]+, klima+t[^ ]*, overgang]","['climate', 'environment']"
"[[ ]ecolo[^ ]+, klima+t[^ ]*, territoriumontwikkeling]","['environment', 'climate']"
"[[ ]ecolo[^ ]+, multispecies stud(?:y|ies), milieu]",['environment']
"[[ ]ecolo[^ ]+, sociale ?transitie]",['environment']
"[ecosyst[^ ]+, degradatie, antropo(?:genic|ceen)]","['environment', 'resources']"
"[ecosyst[^ ]+, pollutie, antropo(?:genic|ceen)]","['environment', 'resources']"
"[ecosyst[^ ]+, pollutie]",['environment']
"[ecosyst[^ ]+, verstoring, antropo(?:genic|ceen)]","['environment', 'resources']"
"[ecosyst[^ ]+, vervuiling, antropo(?:genic|ceen)]","['environment', 'resources']"
"[ecosyst[^ ]+, vervuiling]",['environment']
groen[^ ]* elektri[^ ]+,['energy']
"[elektri[^ ]+, opslag]",['energy']
"[energie ?(?:ge|ver)bruik|(?:ge|ver)bruik van energie, duurzaamheid, milieu]",['energy']
"[energie ?(?:ge|ver)bruik|(?:ge|ver)bruik van energie, duurzame ontwikkeling, milieu]",['energy']
"[energie ?(?:ge|ver)bruik|(?:ge|ver)bruik van energie, duurzame oplossing, milieu]",['energy']
"[energie ?prestatie|prestatie van energie, duurzaamheid, milieu]",['energy']
"[energie ?prestatie|prestatie van energie, duurzame ontwikkeling, milieu]",['energy']
"[energie ?prestatie|prestatie van energie, duurzame oplossing, milieu]",['energy']
"[extinctie, insect]",['environment']
extinctie van so+rt,['environment']
"[extinctie, vogel]",['environment']
"[extractie, impact, milieu]",['resources']
"[glaciolog, klimatolog, atmosfeer]",['climate']
"[glaciolog, klimatolog, modellering]",['climate']
"[glaciolog, klimatolog, thermodynamic]",['climate']
"[impact, grondwater]",['environment']
"[impact, ocea+n]",['environment']
"[impact, pesticide]",['environment']
"[impact, rivier]",['environment']
"[impact, watervoerende laag]",['environment']
"[impacts? van (?:mensheid|mannen), bio-?geo-?(?:chemi|fysi)sch cycl]",['climate']
"[impacts? van de industrie, bio-?geo-?(?:chemi|fysi)sch cycl]",['climate']
"[klima+t[^ ]*, milieu, [ ]ecolo[^ ]+",['environment']
"[menselijke impact, bio-?geo-?(?:chemi|fysi)sch cycl]",['climate']
"[milieu, (?:de)?pollutie, duurzame ontwikkeling]",['sustainability']
"[milieu, pollutie, duurzame ontwikkeling]",['sustainability']
"[milieu, vervuiling, duurzame ontwikkeling]",['sustainability']
"[milieubeheer, [ ]ecolo[^ ]+, impact]",['environment']
"[nucleair, pollutie, milieu]","['energy', 'environment']"
"[nucleair, vervuilend, milieu]","['energy', 'environment']"
"[nucleair, vervuiling, milieu]","['energy', 'environment']"
"[plastic, ocea+n]",['environment']
"[plastic, pollutie]",['environment']
"[plastic, vervuiling]",['environment']
"[politieke ecolo[^ ]+, milieu]",['environment']
"[pollutie, grondwater]",['environment']
"[pollutie, ocea+n]",['environment']
"[pollutie, pesticide]",['environment']
"[pollutie, rivier]",['environment']
"[pollutie, watervoerende laag]",['environment']
"[recycl[^ ]+, milieu]",['resources']
"[sociaal economie, ecolo[^ ]+ transitie]",['sustainability']
"[sociaal economie, sociaal transitie]",['sustainability']
"[solidariteitseconomie, ecolo[^ ]+ transitie]",['sustainability']
"[solidariteitseconomie, sociaal transitie]",['sustainability']
"[uitsterving, insect]",['environment']
"[uitsterving, soort]",['environment']
"[uitsterving, vogel]",['environment']
"[verhoging, ocea+n, klima+t[^ ]*]",['climate']
"[verhoging, zee, klima+t[^ ]*]",['climate']
"[vervuiling, grondwater]",['environment']
"[vervuiling, ocea+n]",['environment']
"[vervuiling, pesticide]",['environment']
"[vervuiling, rivier]",['environment']
"[vervuiling, watervoerende laag]",['environment']
"[weinig energie, duurzaamheid]",['energy']
"[zeespiegelstijging, klima+t[^ ]*]",['climate']
"[zeldzame aarde, duurzaamheid]",['resources']
"[zeldzame aarde, extractie]",['resources']
"[zeldzame aarde, impact]",['resources']
"[zeldzame aarde, milieu]",['resources']
aanpassing aan klimaat(?:verandering)?,['climate']
acties tegen klimaatverandering,['climate']
acties voor het klimaat,['climate']
agro-?bosbouw,['environment']
agro-?ecologie,['environment']
biologische landbouw,['environment']
broeikasgas,['climate']
circulaire economie,['sustainability']
co2-audit,['climate']
co2?-balans,['climate']
collapsologie,['sustainability']
decarbon[^ ]+,"['climate', 'energy']"
duurzaam beheer,['resources']
duurzaam bos,['resources']
duurzaam bouwen,['resources']
duurzaam vervoer,['sustainability']
duurzame agglomeratie,['sustainability']
duurzame architectuur,"['resources', 'sustainability']"
duurzame bedrijfsvoering,['resources']
duurzame consumptie,['sustainability']
duurzame landbouw,['sustainability']
duurzame ontwikkelingsdoel(?:en|stelling)?,['sustainability']
duurzame praktijk,['sustainability']
duurzame productie,['sustainability']
duurzame stad,"['resources', 'sustainability']"
duurzame visserij,['resources']
ecolo[^ ]+ economie,['sustainability']
ecolo[^ ]+ materiaal,['resources']
ecolo[^ ]+ transitie,['resources']
economie van de commons,['sustainability']
ecosystem[^ ]+ ?dienst,['environment']
efficiënt gebruik van hulpbronnen,['sustainability']
elektri[^ ]+ auto,['energy']
elektri[^ ]+ mobiliteit,['energy']
energie[- ]?(?:ge|ver)bruik|(?:ge|ver)bruik van energie,['energy']
energie[- ]?balans,['energy']
energie[- ]?efficientie|efficientie van energie,['energy']
energie[- ]?transitie,['sustainability']
energie[- ]?vector|vector van energie,['energy']
extractie piek,['resources']
extreme (?:weer[^ ]*|meteo[^ ]*),['climate']
extreme weersomstandig[^ ]+,['environment']
fossiele brandstof,['energy']
fotovoltaische?[- ]?energie,['energy']
fotovoltaische?[- ]?panel,['energy']
geo-?engineering,['climate']
geothermische[- ]?energie,['energy']
groene chemie,['environment']
groene energie,['energy']
hernieuwbare energie,['energy']
hulpbronnenefficiëntie,['sustainability']
hydro-?elektrische energie,['energy']
ijsverlies,"['climate', 'environment']"
ineenstorting theorie,['sustainability']
ineenstorting van voorra+d,['resources']
klima+t[^ ]* ?aanpassing,['climate']
klima+t[^ ]* ?actie,['climate']
klima+t[^ ]* ?conditie,['climate']
klima+t[^ ]* ?context,['climate']
klima+t[^ ]* ?diplomatie,['climate']
klima+t[^ ]* ?duurzaamheid,['climate']
klima+t[^ ]* ?forceren,['climate']
klima+t[^ ]* ?fysica,['climate']
klima+t[^ ]* ?model,['climate']
klima+t[^ ]* ?process,['climate']
klima+t[^ ]* ?projectie,['climate']
klima+t[^ ]* ?scepticus,['climate']
klima+t[^ ]* ?weerstand,['sustainability']
klima+t[^ ]*(?:verandering) ?beleid,['climate']
klima+t[^ ]*(?:verandering) ?gerechtigheid,['climate']
klima+t[^ ]*(?:verandering) ?uitdaging,['climate']
klima+t[^ ]*(?:verandering) ?vluchteling,['climate']
klima+t[^ ]*(?:verandering) ?voorwaarde,['climate']
klimaatverandering,['climate']
klimaatverandering ?mitigatie|mitigatie van klimaatverandering,['climate']
klimaatverandering(?:gerelateerd )? ?impact|impact van klimaatverandering,['climate']
klimaatverandering(?:gerelateerd )? ?proble+m|proble+m van klimaatverandering,['climate']
klimaatverandering(?:gerelateerd )? ?risico|risico van klimaatverandering,['climate']
klimaatveranderingsbeheer,['sustainability']
klimaatveranderingsbeheer|beheer(?: inzaa?ke?)? van klimaatverandering,"['climate', 'sustainability']"
klimaatveranderingsbeleid|beleid(?: inzaa?ke?)? van klimaatverandering,"['climate', 'sustainability']"
koolstof ?cyclus,['climate']
koolstofarm,['climate']
koolstofarm energie,['energy']
koolstofbalans,['climate']
koolstofbeoordeling,['climate']
koolstofinventaris,['climate']
koolstofvrij,['climate']
laag koolstofgehalte,['climate']
levenscyclusanalyse,['resources']
milieu[- ]?activist,['environment']
milieu[- ]?beheer,['environment']
milieu[- ]?bescherming,['environment']
milieu[- ]?duurzaamheid,['environment']
milieu[- ]?management,['environment']
milieu[- ]?onderhoud,['environment']
milieu[- ]?uitdaging,['environment']
milieu[- ]?vriendelijk,['environment']
milieu[- ]?wet,['sustainability']
ontbossing,['resources']
ontdooiend noordpoolgebied,"['climate', 'environment']"
opwarming van de aarde,['climate']
overbevissing,['resources']
parijs akkoord,['climate']
