SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
pauvr\w+,(agricult\w+|agrico\w+),(sante|sanitaires?),educatio\w+,genre,eau,energie,emplois?,infrastruct\w+,inegalit\w+,villes?,consomm*,(chang\w+|rechauff\w+) climat\w+,ocea\w+,fores?ts?,justice,
distrib\w+ (\w+ )?(reven\w+|rich\w+),alimenta(tio\w+|aires?),bien[- ]être,illetr\w+,femmes?,sanitai\w+,renouvelab\w+,croissances? (economi\w+|pib),innovat\w+,riche\w+,communes?,production,(effet de serre|CO2|dioxy\w+ carbo\w+),marine?s?,biodivers\w+,gouvernance,
quart-monde,\w+[ -]nutrition,qualite air,(an)?alphabet\w+,viole\w+ sex\w+,potab\w+,eolie\w+,developpem\w+ durab\w+,batiments?,inegalit\w+,urbai\w+,déchet*,réchauff\w+ (global )?tempera\w+,eaux?,ecologi\w+,paix,
extr\w+ pauvr\w+,faim,pollu\w+,scolar\w+,egalite sex\w+,eaux? use\w+,solai\w+,travail,industri\w+,marches? financiers?,rura(ux|l),ressource* naturelle*,,conserv\w+,pollu\w+,droits? (hommes?|humains?),
pays (les moins avancés|tiers[- ]monde),vivrier\w+,contamination,,filles?,secheresses?,hydroelec\w+,salaires?,,tax,resilien(ces?|ts?),recycl*,,poissons?,conserv\w+,violences?,
micro[- ](finance|credits?),agricultures? (durables?|raisonnées?),mortalite infantile,,parites?,irrigat\w+,geotherm\w+,chomages?,,tax\w+,espaces? verts?,écologie industrielle,,halieutique,amenag\w+ territ\w+,abus,
socio[- ]econo\w+,,,,,traitements. eaux?,justice energ\w+,,,discriminat\w+,surpopulation,design durable,,,écosys\w+,guerres?,
,,,,,,efficacit\w+ energ\w+,,,egalit\w+ chanc\w+,patrimoines?,circulaire,,,(degradations?|appauvrissements?) sols?,conflits?,
,,,,,,energies? propres?,,,exclusions?,,,,,voie (disparition|extinction),,
