patterns,themes
atmosfee?r[^ ]+,'[]'
biodivers[^ ]+,'[]'
biosfee?r[^ ]+,'[]'
circulaire econom[^ ]+,'[]'
duurzaa?m[^ ]+,'[]'
ecolo[^ ]+,'[]'
energ[^ ]+,'[]'
klimaa?t[^ ]+,'[]'
milieu,'[]'
natuurlijke hulpbron,'[]'
regeneratieve econom[^ ]+,'[]'
transitie,'[]'
