patterns,themes
atmosphere,'[]'
biodivers[^ ]+,'[]'
biosphere,'[]'
climat[^ ]+,'[]'
durable,'[]'
durabilite,'[]'
economie circulaire,'[]'
economie regenerative,'[]'
ecolo[^ ]+,'[]'
environnement,'[]'
energ[^ ]+,'[]'
regenerative economy,'[]'
resources? naturelles?,'[]'
transition,'[]'
